,date,Average Temperature (deg F),location,fids
303,2020-03-30,48.0,Georgia,FIPS:GG
304,2020-03-31,50.125,Georgia,FIPS:GG
305,2020-04-01,50.75,Georgia,FIPS:GG
306,2020-04-02,45.125,Georgia,FIPS:GG
307,2020-04-03,51.125,Georgia,FIPS:GG
308,2020-04-04,48.75,Georgia,FIPS:GG
309,2020-04-05,52.375,Georgia,FIPS:GG
310,2020-04-06,52.5,Georgia,FIPS:GG
311,2020-04-07,43.875,Georgia,FIPS:GG
312,2020-04-08,43.25,Georgia,FIPS:GG
313,2020-04-09,44.5,Georgia,FIPS:GG
314,2020-04-10,47.875,Georgia,FIPS:GG
315,2020-04-11,47.25,Georgia,FIPS:GG
316,2020-04-12,44.875,Georgia,FIPS:GG
317,2020-04-13,48.125,Georgia,FIPS:GG
318,2020-04-14,53.125,Georgia,FIPS:GG
319,2020-04-15,57.375,Georgia,FIPS:GG
320,2020-04-16,51.0,Georgia,FIPS:GG
321,2020-04-17,53.625,Georgia,FIPS:GG
322,2020-04-18,58.625,Georgia,FIPS:GG
323,2020-04-19,58.25,Georgia,FIPS:GG
324,2020-04-20,60.25,Georgia,FIPS:GG
325,2020-04-21,51.75,Georgia,FIPS:GG
326,2020-04-22,45.375,Georgia,FIPS:GG
327,2020-04-23,43.125,Georgia,FIPS:GG
328,2020-04-24,45.75,Georgia,FIPS:GG
329,2020-04-25,47.0,Georgia,FIPS:GG
330,2020-04-26,51.5,Georgia,FIPS:GG
331,2020-04-27,54.375,Georgia,FIPS:GG
332,2020-04-28,53.125,Georgia,FIPS:GG
333,2020-04-29,53.25,Georgia,FIPS:GG
334,2020-04-30,59.875,Georgia,FIPS:GG
335,2020-05-01,61.25,Georgia,FIPS:GG
336,2020-05-02,59.75,Georgia,FIPS:GG
337,2020-05-03,62.125,Georgia,FIPS:GG
338,2020-05-04,62.625,Georgia,FIPS:GG
339,2020-05-05,59.75,Georgia,FIPS:GG
340,2020-05-06,56.375,Georgia,FIPS:GG
341,2020-05-07,56.5,Georgia,FIPS:GG
342,2020-05-08,56.125,Georgia,FIPS:GG
343,2020-05-09,52.125,Georgia,FIPS:GG
344,2020-05-10,50.125,Georgia,FIPS:GG
345,2020-05-11,54.5,Georgia,FIPS:GG
346,2020-05-12,60.125,Georgia,FIPS:GG
347,2020-05-13,61.0,Georgia,FIPS:GG
